"ACO Name (LBN or DBA, if applicable) ",States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model ,Total Assigned Beneficiaries,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Comp-osite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Comp-osite,ACO-32,ACO-33
SERPA-ACO,Nebraska,01/01/2013,Track1 ,Yes ,10932,$99440157,$101333449,$-1893292,-1.9%,,,Yes,82.28,92.6,92.36,84.65,55.41,74.44,70.78,14.07,1.17,0.75,89.36,92.51,69.59,67.95,79.24,54.33,95.24,49.36,59.08,66.78,90.83,31.36,77.83,56.49,74.71,86.04,95.57,13.96,71.95,51.45,82.79,87.5,52.68,58.09,82.21
"South Florida Accountable Care Organization,LLC",Florida,01/01/2013,Track1 ,No ,6150,$113937019,$108262083,$5674936,5%,$5674936,$2780719,Yes,81.39,92.97,93.38,87.56,64.16,75.4,69.52,16.2,2.15,1.59,60.71,95.06,52.99,40.37,29.29,84.24,89.54,63.01,50.55,55.43,99.07,19.52,65.54,52.05,70.36,76.14,90.66,28.43,68.16,54.27,88.86,91.38,73.27,80.53,83.54
"Southcoast Accountable Care Organization, LLC","Massachusetts, Rhode Island",01/01/2013,Track1 ,No ,19528,$184538570,$190498309,$-5959739,-3.2%,,,Yes,85.28,93.54,93.63,84.79,59.53,75.09,72.9,15.68,1.64,1.2,49.35,90.71,38.93,48.43,48.4,65.23,90.22,9.66,55.42,78.77,94.05,33.16,78.97,69.16,80.39,77.9,78.9,13.55,75.26,69.52,87.17,93.03,76.79,86.29,78.08
"Southern Arizona Accountable Care Organization, LLC",Arizona,04/01/2012,Track1 ,No ,8599,$112244441,$117756626,$-5512185,-4.9%,,,Yes,81.47,92.08,91.93,83.61,61.16,77.91,71.77,15.47,0.91,1.1,39.47,83.44,64.1,68.91,72.32,71.72,90.68,59.33,71.45,69.66,100,29.35,72.23,64.11,73.81,86.46,68.64,17.83,74.15,71.21,74.75,63.64,68.58,82.23,61.69
Southern Kentucky Health Care Alliance,Kentucky,07/01/2012,Track1 ,No ,9173,$120527374,$114890739,$5636635,4.7%,$5636635,$2761951,Yes,78.99,91.08,90.27,87.81,52,67.92,67.99,15.89,2.13,1.45,35,98.85,29.14,55.05,46.8,69.24,88.93,10.71,60.47,67.61,91.75,17.66,65.6,52.52,70.64,76.38,72.31,19.27,69.89,53.21,84.56,84.73,55.87,66.98,71.43
Southern Maryland Collaborative Care LLC,"Maryland, District of Columbia",01/01/2013,Track1 ,No ,9230,$97366390,$105909568,$-8543177,-8.8%,,,Yes,80.3,93.37,91.68,84.54,57.64,70.79,68.75,15.53,1.63,1.54,63.04,45.31,11.24,46.02,29.55,39.32,55.04,3.33,51.06,30.39,83.9,1.23,45.49,31.56,55.33,11.07,63.46,45.9,61.36,33.79,54.95,82.35,39.74,44.59,58.87
"St. Luke's Clinic Coordinated Care, Ltd.","Idaho, Oregon",01/01/2013,Track1 ,No ,28830,$234154790,$229239990,$4914800,2.1%,,,Yes,85.92,93.24,91.5,83.97,54.76,76.67,68.95,13.33,0.85,0.98,79.51,99.18,37.38,59.6,62.52,51.39,91.68,28.51,50.82,53.95,88.25,28.57,73.93,51.61,74.11,85.89,93.67,15.36,70.12,60.54,92.14,94.34,91.9,97.36,86.67
St. Thomas Medical Group PLLC,Tennessee,07/01/2012,Track1 ,Yes ,5839,$63377806,$61581436,$1796371,2.8%,,,Yes,84.08,93.25,93.45,89.03,58.65,73.94,69.08,14.13,1.2,1.12,18.75,,6.66,27.76,56.33,52.99,88.15,27.65,62.91,50.57,98.63,23.77,66.98,50.75,73.77,81.32,55.32,24.91,71.93,57.36,53.4,80,36.9,59.09,0
Summit Health Solutions,Tennessee,07/01/2012,Track1 ,No ,40595,$423018270,$432205624,$-9187355,-2.2%,,,Yes,84.48,94.51,93.55,86.76,58.57,76.77,69.21,14.59,0.72,1.15,87.88,81.66,62.21,62.23,65.73,62.07,95.28,63.05,60.2,61.12,99.67,33.86,83.37,65.56,72.02,83.95,83.89,9.59,71.64,66.49,92.91,93.18,78.07,82.68,78.06
"Texoma ACO, LLC",Texas,07/01/2012,Track1 ,Yes ,6417,$75902616,$78551991,$-2649375,-3.5%,,,Yes,78.98,93.92,93.37,86.25,61.93,75.79,68.9,14.77,0.96,0.78,87.5,91.37,40.26,60.31,49.26,76.16,90.74,31.54,72.11,83.91,86.82,35.82,83.8,62.05,71.86,88.91,95.68,9.59,70.94,63.33,84.69,90.12,84.3,89.74,86.76
The Polyclinic,Washington,07/01/2012,Track1 ,No ,8749,$85223404,$90235412,$-5012008,-5.9%,,,Yes,86.66,93.93,92.56,87.01,58.13,75.37,72.74,14.42,0.91,1.05,87.88,94.2,28.22,32.36,44.53,52.8,97.81,11.72,63.5,69.59,39.86,31.63,76.64,65.45,77.86,91.97,28.57,11.68,56.59,62.77,82.73,84.38,67.15,72.03,60.67
The Premier HealthCare Network LLC,Georgia,01/01/2013,Track1 ,No ,5072,$54334322,$52682733,$1651589,3%,,,Yes,77.16,91.33,91.25,84.95,55.95,67.74,71.08,15.34,1.3,1.4,30,97.14,5,42.32,23.48,73.56,85.17,1.51,16.08,24.32,60.22,3.85,46.92,30.77,60,46.15,63.64,46.92,48.36,59.15,92.96,100,66.67,79.8,67.61
"Torrance Memorial Integrated Physicians, LLC",California,07/01/2012,Track1 ,No ,12924,$181810186,$185807696,$-3997511,-2.2%,,,Yes,79.27,91.83,91.34,83.3,57.85,72.87,71.43,15.4,0.86,0.98,51.85,84.82,56.68,53.57,48.25,74.16,93.24,55.68,67.5,76.1,91.26,25,62.74,56.49,74.76,78.37,78.69,30.29,69.74,51.91,77.08,95.52,71.01,76.06,67.74
TP-ACO L.L.C.,"Tennessee, Louisiana, Florida",07/01/2012,Track1 ,No ,9739,$124872546,$115235850,$9636696,7.7%,$9636696,$4721981,Yes,85.09,95.12,93.37,86.31,61.91,75.91,69.98,15.23,1.55,1.06,54.9,99.81,94.38,50.35,69.41,95.69,99.52,97.56,80.58,68.78,98.8,2.18,48.3,43.93,47.09,8.25,93.26,44.66,46.25,46.99,91.57,99,89.83,90.56,97.47
Triad HealthCare Network,North Carolina,07/01/2012,Track1 ,No ,40944,$463194583,$441688961,$21505622,4.6%,$21505622,$10537755,Yes,82.6,93.29,93.3,87.23,61.48,72.46,70.9,13.83,0.72,1.34,68.2,64.14,64.8,67.36,72.35,61.29,84.13,42.83,73.65,69.52,37.11,24.83,71.95,56.78,72.41,78.16,88.2,21.15,66.05,51.26,76.9,86.98,54.03,67.54,70.67
UCLA Faculty Practice Group,California,01/01/2013,Track1 ,No ,20985,$263528760,$265418262,$-1889502,-0.7%,,,Yes,78.49,93.24,92.9,83.98,54.59,74.45,70.31,16.55,0.91,0.91,66.67,94.72,41.05,60.49,63.29,67.88,81.95,3.41,63.5,60.99,93.27,22.09,78.16,59.71,64.32,68.93,86.61,15.53,61.8,62.26,81.84,86.15,79.61,89.05,73.17
UnityPoint Health Partners,"Illinois, Iowa, Missouri",07/01/2012,Track1 ,No ,86134,$954561836,$966732386,$-12170550,-1.3%,,,Yes,80.66,93.32,91.46,85.05,55.18,73.72,72.28,14.62,1.12,1.16,64.03,98.8,21.23,52,61.1,65.88,92.79,20.05,77.65,72.27,48.73,36.36,76.69,58.97,80.89,82.75,85.82,14.92,78.9,56.57,89.2,71.19,65.78,71.6,77.78
University Hospitals Coordinated Care Organization ,Ohio,07/01/2012,Track1 ,No ,49759,$647580835,$639516651,$8064184,1.2%,,,Yes,80.68,91.47,91.44,82.1,57.97,73.8,71.48,15.38,1.12,1.18,45.53,78.19,35.98,52.87,51.63,42.06,79.78,2.99,63.72,54.3,69.16,24.71,74.82,53.65,69.41,74.35,80.6,18.35,65.63,54.99,76.57,77.23,64.85,72.32,67.88
"UW Health ACO, Inc.",Wisconsin,01/01/2013,Track1 ,No ,28068,$216698976,$222156241,$-5457265,-2.5%,,,Yes,82.05,93.23,91.91,84.08,58.05,76.05,72.49,13.51,0.73,0.97,87.69,0,22.67,85.77,92.17,56.06,92.27,0.34,79.31,69.39,78.17,40.09,81.03,70.47,75.43,89.22,91.16,9.27,75.6,65.39,91.78,91.6,78.52,82.08,88.73
"Virginia Collaborative Care, LLC.",Virginia,01/01/2013,Track1 ,No ,11466,$123017191,$118266364,$4750827,3.9%,$4750827,$2327905,Yes,79.05,91.62,90.27,81.95,55.53,72.86,71.84,15.98,1.53,1.33,61.02,68,13.64,32.12,32.92,53.07,70.28,3.21,41.38,45.6,89.55,4.25,55.98,47.49,64.48,10.04,61.19,35.14,64.97,43.84,57.61,81.48,50.7,57.54,68.07
VirtuaCare,New Jersey,01/01/2013,Track1 ,No ,13860,$127285469,$132208081,$-4922612,-3.9%,,,Yes,83.62,94.23,92.36,85.22,56.68,74.91,71.98,14.98,1.56,1.38,75.58,89.91,6.88,66.5,62.25,75.55,93.03,0.38,53.58,56.59,65.78,33.27,71.28,63.22,80.56,83.71,75.88,17.86,79.06,69.66,89.48,96.24,75.74,85.81,73.72
Wellmont Integrated Network,"Virginia, Tennessee",01/01/2013,Track1 ,No ,11160,$91308094,$92556428,$-1248334,-1.4%,,,Yes,82.72,94.17,92.97,87.38,56.74,75.18,64.92,15.8,1.37,1.48,70.49,96.98,7.17,36.75,67.12,59.5,83.67,0,48.88,68.14,90.24,21.03,70.17,51.5,70.82,70.6,90.18,20.17,68.26,55.81,95.23,96.88,47.33,54.73,72.29
"WellStar Health Network, LLC",Georgia,07/01/2012,Track1 ,No ,45732,$543255737,$523380463,$19875274,3.7%,$19875274,$9738884,Yes,76.48,91.63,90.85,85.37,51.41,74.72,70.18,14.58,0.85,1.55,66.67,94.06,33.02,59.23,45.45,47.44,81.95,48.05,46,60.09,71.85,19.44,66.51,56.91,61.12,64.17,87.83,27.87,60.55,53.37,81.97,80.35,61.15,70.12,66
"West Florida ACO, LLC",Florida,04/01/2012,Track1 ,No ,10322,$186054155,$177952498,$8101657,4.4%,$8101657,$3969812,Yes,83.5,91.71,90.54,88.03,61.38,77.13,71.05,14.85,1.43,1.27,68.42,99.82,54.19,59.96,56.45,72.5,46.54,38.46,66.86,73.49,77.28,13.13,60.06,53.91,71.23,48.32,63.87,32.96,74.7,57.56,66.57,71.43,65.61,75.14,73.2
"WESTMED Medical Group, P.C.","New York, Connecticut",07/01/2012,Track1 ,No ,14082,$160881833,$162429210,$-1547377,-1%,,,Yes,83.05,93.62,92.93,86.64,58.06,72.27,72.81,14.4,1.28,1.18,63.89,97.86,41.11,61.69,75.86,79.9,98.05,39.85,77.29,74.84,32.06,43.91,83.75,73.31,75.24,92.65,89.02,7.35,68.38,71.49,78.61,95.24,74.02,81.2,76.56
Winchester Community ACO,"Massachusetts, New Hampshire",01/01/2013,Track1 ,No ,6068,$63921734,$52041983,$11879751,18.6%,$11879751,$5821078,Yes,83.73,93.62,92.98,87.53,62.72,72.96,73.97,14.88,1.65,1.16,83.78,94.86,29.25,70.25,72.5,70.02,89.02,32.72,74.34,70.59,86.34,36.81,79.96,63.6,82.62,86.3,81.28,9,76.96,65.54,78.15,78.95,73.26,82.04,77.4
"Yavapai Accountable Care, LLC",Arizona,01/01/2013,Track1 ,No ,7651,$61003400,$66827791,$-5824390,-9.5%,,,Yes,81.96,93.02,91.36,84.46,57.28,74.4,70.73,14.58,0.68,0.52,78.95,99.45,66.15,75.14,68.98,80.35,96.19,73.24,80.83,89.18,99.49,23.88,76.9,48.29,70.34,86.35,36.96,17.32,64.8,56.68,81.11,80.95,70.97,78.83,72.04
Yuma Connected Community,Arizona,01/01/2013,Track1 ,No ,5113,$44934917,$46656815,$-1721898,-3.8%,,,Yes,77.68,90.98,89.88,81.73,52.53,74.14,71.89,14.43,1.29,0.89,40,97.95,5.78,20.12,26.51,43.11,89.15,2.08,45.51,67.63,95.28,19.41,59.07,45.99,66.24,71.31,77.5,35.44,67.87,39.1,84.21,83.33,77.92,88.7,68.57
