ACO Legal or Name/Doing Business As,ACO Address,ACO Service Area,ACO Website Address,ACO Executive Name,ACO Executive Email,ACO Executive Phone,Public Contact Name,Public Contact Email,Public Contact Phone,Location 1
"Mercy Health Select, LLC","615 Elsinore Place, 6th Floor, Cincinnati, Ohio 45202","KY, OH",http://www.e-mercy.com/accountabl-care-organization.aspx,Jeff Copeland,JRCopeland@mercy.com,(513) 639-2755,Stephanie Savicki,SSavicki@mercy.com,(513) 632-8057,"615 Elsinore Place
Cincinnati, Ohio 45202
(39.11316287600005, -84.50194412899998)"
Mercy Health System ACO,"1000 Mineral Point Avenue, Janesville, Wisconsin 53548","IL, WI",http://mercyserver.com/~mhshost/mhsaco.com/,Javon Bea,jbea@mhsjvl.org,(608) 756-6080,Barb Bortner,bbortner@mhsjvl.org,(608) 743-2060,"1000 Mineral Point Avenue
Janesville, Wisconsin 53548
(42.68679641500006, -89.03244140699996)"
"Meridian Accountable Care Organization, LLC","1350 Campus Parkway, Neptune, New Jersey 07753",NJ,http://www.meridianhealth.com/MH/AboutUs/HealthCareInnovation/MeridianAccountableCareOrganization.cfm,Dr. James Clarke,jclarke@meridianhealth.com,(732) 751-7516,Michael McCauley,mmccauley@meridianhealth.com,(732) 751-7535,"1350 Campus Parkway
Neptune, New Jersey 07753
(40.21425724000005, -74.11850651499998)"
Meridian Health Systems ACO Corporation,"4477 West 118th Street, Suite 304, Hawthorne, California 90250","CA, DC, FL, GA, LA, NC, SC, TN, TX",http://www.mhsaco.us,Dr. Anthony Dike,acdike@hotmail.com,(323) 252-2784,Dr. Anthony Dike,acdike@hotmail.com,(323) 295-5062,"4477 West 118th Street
Hawthorne, California 90250
(33.92734852700005, -118.35418859899994)"
"Meritage ACO, LLC","4 Hamilton Lndg, Ste 100, Novato, California 94949",CA,http://meritagemed.com/meritage-accountable-care-organization-aco/,Joel Criste,jcriste@meritagemed.com,(415) 884-1818,Marcy Norenius,mnorenius@meritagemed.com,(415) 884-1825,"4 Hamilton Lndg
Novato, California 94949
(38.05702515100006, -122.51359639799995)"
Methodist Patient Centered ACO,"1441 N. Beckley, Dallas, Texas 75203",TX,http://www.methodisthealthsystem.org/aco,Dr. Melissa Gerdes,melissagerdes@mhd.com,(214) 947-4210,Shannon Huggins,shannonhuggins@mhd.com,(214) 947-4527,"1441 N Beckley
Dallas, Texas 75203
(32.76155966400006, -96.82305274999999)"
MetroHealth Care Partners,"2500 MetroHealth Drive, Cleveland, Ohio 44109",OH,http://www.metrohealth.org/aco,Susan Mego,smego@metrohealth.org,(216) 957-2659,Elizabeth Allen,eallen@metrohealth.org,(216) 778-1614,"2500 MetroHealth Drive
Cleveland, Ohio 44109
(41.46242351800004, -81.69890568999995)"
Mid-Atlantic Primary Care ACO,"820 West Diamond Avenue, Suite 600, Gaithersburg, Maryland 20878","DC, MD",http://www.MIDATLANTICCARE.ORG,Dr. Seth Eaton,setheaton@me.com,(301) 655-7375,Mary Ward,mward@adventisthealthcare.com,(301) 315-3103,"820 West Diamond Avenue
Gaithersburg, Maryland 20878
(39.14293546400006, -77.21677460499996)"
Midwest Health Coalition ACO,"7500 Mercy Road, Suite 1300, Omaha, Nebraska 68124","IA, NE",http://www.MidwestHealthCoalitionACO.com,Dr. Gamini Soori,gssoori@gmail.com,(402) 393-3110,Ann Jones,mip.llc2012@gmail.com,(402) 658-8765,"7500 Mercy Road
Omaha, Nebraska 68124
(41.237878360000025, -96.03204009099994)"
Millennium Accountable Care Organization,"6321 Daniels Parkway, suite 201, Fort Myers, Florida 33912",FL,http://www.millenniumaccountablecare.com/,Balford Francis,bfrancis@millenniumphysician.com,(855) 674-7400 ext.106,Balford Francis,bfrancis@millenniumphysician.com,(855) 674-7400 ext. 106,"6321 Daniels Parkway
Fort Myers, Florida 33912
(26.546618228000057, -81.84923122399994)"
"Mission Health Care Network, LLC","2525 de Sales Avenue, Chattanooga, Tennessee 37404","GA, TN",http://www.missionhealthcarenetwork.org,Tod Erickson,tod_erickson@memorial.org,(423) 495-7762,Lisa McCluskey,Lisa_McCluskey@Memorial.org,(423) 495-6500,"2525 de Sales Avenue
Chattanooga, Tennessee 37404
(35.04009670500005, -85.26118031199996)"
"Mission Health Partners, Inc.","509 Biltmore Avenue, Asheville, North Carolina 28801",NC,http://www.missionhealthpartners.org,Marc Malloy,marc.malloy@msj.org,(828) 213-3511,Amanda Gerlach,amanda.gerlach@msj.org,(828) 213-5384,"509 Biltmore Avenue
Asheville, SOUTH CAROLINA 28801
(35.57840377000008, -82.54900671499996)"
"MissionPoint Birmingham, LLC","523 Mainstream Dr, Nashville, Tennessee 37228-1238",AL,http://www.missionpointhealthaco.org,Phoebe Yang,phoebe.yang@missionpointhealth.org,(615) 284-6953,Jason Dinger,jason.dinger@missionpointhealth.org,(615) 284-2659,"523 Mainstream Dr
Nashville, Tennessee 37228-1238
(36.19976487200006, -86.80943614499995)"
"MissionPoint Evansville, LLC","523 Mainstream Dr, Nashville, Tennessee 37228-1238","IN, KY",http://www.missionpointhealthaco.org,Phoebe Yang,phoebe.yang@missionpointhealth.org,(615) 284-6953,Jason Dinger,jason.dinger@missionpointhealth.org,(615) 284-2659,"523 Mainstream Dr
Nashville, Tennessee 37228-1238
(36.19976487200006, -86.80943614499995)"
MissionPoint Health Partners,"523 Mainstream Dr., Nashville, Tennessee 37228",TN,http://missionpointhealthaco.org,Jason Dinger,jason.dinger@missionpointhealth.org,(615) 284-2659,Jason Dinger,jason.dinger@missionpointhealth.org,(615) 284-2659,"523 Mainstream Dr
Nashville, Tennessee 37228
(36.19976487200006, -86.80943614499995)"
"MissionPoint Indianapolis, LLC","523 Mainstream Dr, Nashville, Tennessee 37228-1238",IN,http://www.missionpointhealthaco.org,Phoebe Yang,phoebe.yang@missionpointhealth.org,(615) 284-6953,Jason Dinger,jason.dinger@missionpointhealth.org,(615) 284-2659,"523 Mainstream Dr
Nashville, Tennessee 37228-1238
(36.19976487200006, -86.80943614499995)"
Morehouse Choice ACO-ES,"1046 Ridge Avenue, Suite 4, Atlanta, Georgia 30315",GA,,Michelle Brown,choiceipa@me.com,(770) 605-0502,Michelle Brown,choiceipa@me.com,(770) 217-0997,"1046 Ridge Avenue
Atlanta, Georgia 30315
(33.726364482000065, -84.39215832999997)"
"Mount Sinai Care, LLC","One Gustave Levy Place, Box 1099, New York, New York 10029",NY,,Dr. Jeffrey Farber,jeffrey.farber@mountsinai.org,(212) 241-4293,Dr. Jeffrey Farber,jeffrey.farber@mountsinai.org,(212) 241-4293,"One Gustave Levy Place
New York, New York 10029
(40.789277740000045, -73.95472707699997)"
"MPS ACO Physicians, LLC","31 Crescent Street, Middletown, Connecticut 06457",CT,,Dr. Michael Kazakoff,mkazakoff@mpsphysicians.com,(860) 358-6129,Denise Astle,dastle@mpsphysicians.com,(860) 358-6129,"31 Crescent Street
Middletown, Connecticut 06457
(41.55491836500005, -72.64758991599996)"
"MyHealth First Network, LLC","300 East McBee Ave., Suite 502, Greenville, South Carolina 29601",SC,,Dr. Angelo Sinopoli,Asinopoli@myhfn.org,(864) 797-7805,Kim Roberts,Kroberts2@myhfn.org,(864) 797-7858,"300 East McBee Ave
Greenville, South Carolina 29601
(34.84894352200007, -82.39738896699998)"
"National ACO, LLC","9400 Brighton Way, Suite 405, Beverly Hills, California 90210","CA, PA, TN",http://www.nationalacollc.com/,Dr. Andre Berger,aberger@nationalacollc.com,(310) 276-4494,Dr. Alex Foxman,afoxman@nationalacollc.com,(310) 691-1356,"9400 Brighton Way
Beverly Hills, California 90210
(34.07049649700008, -118.40110375299997)"
National Rural ACO,"P.O. Box 1330, Nevada City, California 95959","CA, IN, MI",http://www.ruralACO.com,Douglas Pollock,dpollock@ruralACO.com,(916) 500-4777,Georgia Green,admin@ruralaco.com,(916) 500-4777,"1330 Nevada
City, California 95959
(39.27344645100004, -121.01095924499998)"
National Rural ACO II LLC,"200 Coyote St #1330, Nevada City, California 95959","CA, IL, IN, IA",http://www.ruralaco.com,Douglas Pollock,dpollock@ruralaco.com,(916) 500-4777,Georgia Green,ggreen@ruralaco.com,(916) 500-4777,"200 Coyote St
Nevada City, California 95959
(39.26325103900007, -121.01694363999997)"
Nature Coast ACO LLC,"3404 N. Lecanto Highway, Suite C, Beverly Hills, Florida 34465",FL,http://www.naturecoastaco.org,Dr. Bhadresh Patel,bpatel992000@yahoo.com,(352) 634-2027,Patricia King,sum07mer@gmail.com,(352) 422-7783,"3404 N Lecanto Highway
Beverly Hills, Florida 34465
(28.912899225000046, -82.47419315899998)"
"NEPA ACO Company, LLC","1209 Trust Street, Wilmington, Delaware 19801",NJ,http://nepaacollc.com,Nader Moaven,nadermoaven@hotmail.com,(973) 903-3878,Chintan Trivedi,chintan@integritymedsys.com,(732) 443-1700,"1209 Trust Street
Wilmington, Delaware 19801
(39.74077786300006, -75.54982713999993)"
"NEQCA Accountable Care, Inc.","325 Wood Road, Suite 210, Braintree, Massachusetts 02184","MA, NH",http://www.neqca.org,Dr. Jeffrey Lasker,jlasker@neqca.org,(781) 356-3336,Alison Nogi,anogi@neqca.org,(781) 356-3336,"325 Wood Road
Braintree, MA 02184
(42.21774079000005, -71.04109282399997)"
New Health Collaborative,"525 East Market Street, Akron, Ohio 44309",OH,http://www.summahealth.org/ACO,Dr. Mark Terpylak,terpylam@summahealth.org,(330) 996-8459,Jamie Leighton,leightonj@summahealth.org,(330) 996-0356,"525 East Market Street
Akron, Ohio 44309
(41.07874174300008, -81.50094479399996)"
NewYork Quality Care,"525 East 68th St., Box 186, New York, New York 10065","NJ, NY",,David Alge,daa9020@nyp.org,(646) 697-9973,Kerry DeWitt,newyorkqualitycare@nyp.org,(646) 697-9991,"525 East 68th St
New York, New York 10065
(40.764190014000064, -73.95529348899998)"
New York State Elite (NYSE) Accountable Care Organization (ACO) Inc,"1905 Hempstead Turnpike, East Meadow, New York 11554",NY,http://www.nyseaco.org,Dr. Ruhayna Mukhi,rmukhi@nyseaco.org,(516) 214-6805,Fatima Visram,fmukhi@nyseaco.org,(516) 214-6805,"1905 Hempstead Turnpike
East Meadow, New York 11554
(40.72426833000003, -73.56577223999994)"
NH Accountable Care Partners,"1 Elliot Way, Manchester, New Hampshire 03103","ME, MA, NH",http://www.concordhospital.org/about/accountable-care-organization/,Dr. David Green,dgreen@crhc.org,(603) 225-2711,Betsey Rhynhart,brhynhar@crhc.org,(603) 230-7267,"1 Elliot Way
Manchester, New Hampshire 03103
(42.982755833000056, -71.43477375499998)"
NJ Physicians ACO,"25 Mule Road, Suite B8, Toms River, New Jersey 08755",NJ,http://www.njphysiciansaco.com,Dr. Vinod Sancheti,vinod.sancheti@gmail.com,(732) 240-4000,Chintan Trivedi,chintan@integritymedsys.com,(732) 443-1700,"25 Mule Road
Toms River, New Jersey 08755
(39.96968160400007, -74.24024311599999)"
"NOMS ACO, LLC","2500 W. Strub Rd., Suite 360, Sandusky, Ohio 44870",OH,http://www.nomsdrs.com/noms-aco-llc,Dr. Louis Ralofsky,lralo@no-ms.com,(419) 626-6161 ext.3021,Rebecca Rohrbach,rrohr@no-ms.com,(419) 626-6161 ext.3440,"2500 W Strub Rd
Sandusky, Ohio 44870
(41.40943353400007, -82.72889122699996)"
"North Bend Medical Center, Inc.","1900 Woodland Drive, Coos Bay, Oregon 97420",OR,http://www.nbmconline.com,John Burles,john.burles@nbmconline.com,(541) 266-1258,Kelly Walters,kelly.walters@nbmconline.com,(541) 266-1261,"1900 Woodland Drive
Coos Bay, Oregon 97420
(43.380668537000076, -124.23891372099996)"
"North Central Arizona Accountable Care, LLC ","P.O. Box 11090, Prescott, Arizona 86304-1090",AZ,http://www.ncazaco.org,Larry Burns,lburns@yrmc.org,(928) 771-5676,Larry Burns,lburns@yrmc.org,(928) 771-5676,"11090 Prescott
Arizona 86304-1090
(34.54859036900007, -112.47813004399995)"
"North Coast Medical ACO, Inc.","4002 Vista Way, Oceanside, California 92056",CA,http://www.tricitymed.org/about-us/aco,Wayne Knight,KnightWR@tcmc.com,(760) 940-5771,Wayne Knight,KnightWR@tcmc.com,(760) 940-5771,"4002 Vista Way
Oceanside, California 92056
(33.18366814800004, -117.29174097899994)"
North Collaborative Care ,"3300 Oakdale Avenue North, Robbinsdale, Minnesota 55422",MN,,Dr. Craig Matticks,craig.matticks@northmemorial.com,(763) 581-4729,Jason Rusinak,jason.rusinak@northmemorial.com,(763) 581-2414,"3300 Oakdale Avenue North
Robbinsdale, Minnesota 55422
(45.014592048000054, -93.32241403799998)"
North Country ACO,"262 Cottage Street, Suite 230, Littleton, New Hampshire 03561","NH, VT",http://northcountryaco.org/,Nancy Frank,nfrank@nchcnh.org,(603) 259-3700 ext. 223,Kenneth Gordon,kgordon@nchcnh.org,(603) 259-3700 ext. 250,"262 Cottage Street
Littleton, New Hampshire 03561
(44.299352842000076, -71.76863498699998)"
"Northeast Medical Group ACO, LLC","226 Mill Hill Avenue, Bridgeport, Connecticut 06610","CT, NY",,Amit Rastogi,amit.rastogi@ynhh.org,(203) 384-3353,Peter Logue,peter.logue@ynhh.org,(203) 384-3873,"226 Mill Hill Avenue
Bridgeport, Connecticut 06610
(41.18973641000008, -73.16530705599996)"
Northern Maryland Collaborative Care LLC,"24035 Three Notch Road, Hollywood, Maryland 20636",MD,http://www.northernmdcc.com/,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"24035 Three Notch Road
Hollywood, Maryland 20636
(38.32938885100003, -76.55389248799997)"
Northern Michigan Health Network,"100 N. Park Street, Traverse City, Michigan 49684",MI,http://www.nmhn.net,Marie Jannausch-Hooper,mhooper@npoinc.org,(231) 421-8505,Bryanna Pataky,bpataky@npoinc.org,(231) 421-8505,"100 N Park Street
Traverse City, Michigan 49684
(44.764330845000075, -85.61814223899995)"
"Northwest Ohio ACO, LLC","Mail Stop 1018, 3000 Arlington Avenue, Toledo, Ohio 43614","MI, OH",http://www.nwoaco.com,Gregory Hawkins,Gregory.hawkins2@utoledo.edu,(419) 383-4418,Gregory Hawkins,Gregory.hawkins2@utoledo.edu,(419) 383-4418,"3000 Arlington Avenue
Toledo, Ohio 43614
(41.62118501200007, -83.61618687499998)"
Northwest Rural ACO,"200 Coyote St #1330, Nevada City, California 95959","OR, WA",http://www.ruralaco.com,Holly Greenwood,holly@washingtonruralhealth.org,(916) 500-4777,Georgia Green,ggreen@ruralaco.com,(916) 500-4777,"200 Coyote St
Nevada City, California 95959
(39.26325103900007, -121.01694363999997)"
"Oakwood Accountable Care Organization, LLC","15500 Lundy Parkway, Dearborn, Michigan 48126",MI,http://oakwoodaco.org,William Isenstein,william.isenstein@oakwood.org,(313) 253-6059,William Isenstein,william.isenstein@oakwood.org,(313) 253-6059,"15500 Lundy Parkway
Dearborn, Michigan 48126
(42.331427219000034, -83.19691122699999)"
"Ochsner Accountable Care Network, LLC","1514 Jefferson Highway, New Orleans, Louisiana 70121","LA, MS",http://www.ochsneracn.org,Dr. Joseph Bisordi,jbisordi@ochsner.org,(504) 842-5978,Jennifer Bollinger,jbolinger@ochsner.org,(504) 842-9268,"1514 Jefferson Highway
New Orleans, Louisiana 70121
(29.962642938000045, -90.14455410099998)"
Oklahoma Health Initiatives,"1923 S. Utica Ave., St. John Administration, Tulsa, Oklahoma 74104","KS, OK",http://www.oklahomahealthinitiatives.com,Ann Paul,ann.paul@sjmc.org,(918) 744-2180,Cheena Pazzo,cheena.pazzo@sjmc.org,(918) 744-2440,"1923 S Utica Ave
Tulsa, Oklahoma 74104
(36.13427010000004, -95.96720695499994)"
"OneCare Vermont Accountable Care Organization, LLC","111 Colchester Avenue, Burlington, Vermont 05401","NH, VT",http://www.onecarevt.org,Todd Moore,Todd.Moore@onecarevt.org,(802) 847-1844,Abraham Berman,abraham.berman@onecarevt.org,(802) 847-0887,"111 Colchester Avenue
Burlington, VT 05401
(44.48067247900008, -73.19654888199995)"
"Optimus Healthcare Partners, LLC","95 Summit Avenue, 4th Floor, Summit, New Jersey 07901",NJ,http://www.optimushealthcarepartners.com,Dr. John Vigorita,jvigorita@optimushp.com,(908) 598-0101,Deborah Rodgers ,drodgers@optimushp.com,(908) 598-0101,"95 Summit Avenue
Summit, New Jersey 07901
(40.71753324300005, -74.35620414799996)"
Orange Accountable Care,"12276 San Jose Blvd., Suite 420, Jacksonville, Florida 32223","FL, NJ, PA",http://www.orangehealthaco.com,Howard Buff,hbuff@orangehealth.net,(904) 423-1832,Kristi Stovall,kstovall@orangehealth.net,(904) 423-1785,"12276 San Jose Blvd
Jacksonville, Florida 32223
(30.145960604000038, -81.63272207999995)"
Orange Accountable Care of New York,"18 West 12th Street, Suite 1, New York, New York 10011","FL, NJ, NY",,Lissette Exposito,lexposito@orangeacosfl.com,(305) 992-4338,Lissette Exposito,lexposito@orangeacosfl.com,(305) 992-4338,"18 West 12th Street
New York, New York 10011
(40.734994921000066, -73.99543162599997)"
"Orange Accountable Care of South Florida, LLC","1111 Brickell Avenue, Suite 1141, Miami, Florida 33131","FL, TX",http://www.orangeacosfl.com,Lissette Exposito,lexposito@orangeacosfl.com,(305) 992-4338,Caridad Rodriguez,crodriguez@orangeacosfl.com,(786) 440-4929,"1111 Brickell Avenue
Miami, Florida 33131
(25.762910693000038, -80.19143236199994)"
Owensboro ACO,"3346 Professional Park Drive, Owensboro, Kentucky 42301","IN, KY",http://owensboroaco.com,Dr. David Johnson,djjohn168@att.net,(270) 685-1066,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,"3346 Professional Park Drive
Owensboro, Kentucky 42301
(37.75262935100005, -87.15455907399996)"
PACN,"5 First Village Drive, Pinehurst, North Carolina 28374",NC,,David Thornton,dthornton@pinehurstmedical.com,(910) 235-3307,George Little,gwlittle51@gmail.com,(910) 692-6881,"5 First Village Drive
Pinehurst, SOUTH CAROLINA 28374
(35.207971490000034, -79.45802406699994)"
"Palm Beach Accountable Care Organization, LLC","2326 South Congress Avenue, Suite 2F, Palm Springs, Florida 33406",FL,http://www.pbaco.org,David Klebonis,dklebonis@pbaco.org,(352) 258-1188,David Klebonis,dklebonis@pbaco.org,(352) 258-1188,"2326 South Congress Avenue
Palm Springs, Florida 33406
(26.64262265800005, -80.08806105399998)"
"Paradigm ACO, LLC","1580 Santa Barbara Blvd, The Villages, Florida 32159",FL,,Seema Khanna,SEEMAKHANNA04@GMAIL.COM,(352) 516-3972,Ravi Gupta,mfpc2@yahoo.com,(352) 455-4588,"1580 Santa Barbara Blvd
The Villages, Florida 32159
(28.951589391000027, -81.96201080599997)"
"Partners In Care ACO, Inc.","2 Tower Center Boulevard, Tower 2, 12th Floor, East Brunswick, New Jersey 08816",NJ,http://www.partnersincareACO.com,Mark Rucci,mrucci@piccorp.com,(732) 246-0291 ext.103,Mark Rucci,mrucci@piccorp.com,(732) 246-0291 ext. 103,"2 Tower Center Boulevard
East Brunswick, NJ 08816
(40.47899658700004, -74.40998097799996)"
Penn State Health Care Partners,"2500 Bernville Road, St. Joseph Regional Health Network, Reading, Pennsylvania 19605",PA,http://www.pennstatehealthcarepartners.org,Dr. Robert Hippert,rnhippert@outlook.com,(610) 468-0768,Sean Reynolds,seanreynolds@catholichealth.net,(610) 378-2605,"2500 Bernville Road
Reading, Pennsylvania 19605
(40.37661286900004, -75.97736155299998)"
"Physician Alliance of Kansas, Inc.","9350 E 35th Street N, Suite 104, Wichita, Kansas 67226",KS,http://www.pakdocs.net,Marlon Dauner,mdauner@pakdocs.net,(316) 712-7081,Marlon Dauner,mdauner@pakdocs.net,(316) 712-7081,"9350 E 35th Street N
Wichita, Kansas 67226
(37.74931751100007, -97.22934155599995)"
Physician Collaborative of Kansas City LLC,"8550 Marshall Drive, Suite 220, Lenexa, Kansas 66214","KS, MO",http://www.physicianskc.com/,Dayna Hodgden,dhodgden@encompassmed.com,(913) 495-2046,Dayna Hodgden,dhodgden@encompassmed.com,(913) 495-2046,"8550 Marshall Drive
Lenexa, Kansas 66214
(38.97328162500003, -94.71771288399998)"
Physician Direct Accountable Care Organization,"2360 Orchard Lake Road, Suite 105, Sylvan Lake, Michigan 48320",MI,http://physiciandirect.org,Rodger Prong,rprong@opns.org,(248) 682-0088 ext. 119,Rodger Prong,rprong@opns.org,(248) 682-0088 ext. 119,"2360 Orchard Lake Road
Sylvan Lake, Michigan 48320
(42.61067580300005, -83.33027862899996)"
Physician First ACO,"1555 Saxon Blvd, Suite 601, Deltona, Florida 32725",FL,http://www.physicianfirstaco.com/,Bishnu Verma,bpv11@yahoo.com,(386) 860-2600,Bishnu Verma,bpv11@yahoo.com,(386) 860-2600,"1555 Saxon Blvd
Deltona, Florida 32725
(28.904570532000037, -81.24577086599999)"
"Physician Health Partners, LLC","1125 17th Street, Suite 1000, Denver, Colorado 80202",CO,http://www.PhysicianHealthPartners.com,Kenneth Nielsen,ken.nielsen@phpmcs.com,(720) 612-6612,Abby Brookover,abby.brookover@phpmcs.com,(720) 612-6868,"1125 17th Street
Denver, Colorado 80202
(39.74909453500004, -104.99479224999999)"
Physicians Accountable Care of Utah,"3725 West 4100 South, West Valley City, Utah 84120",UT,http://grangermedical.com,Dr. Mary Jane Pennington,penmar@grangermedical.com,(801) 965-3777,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,"3725 West 4100 South
West Valley City, Utah 84120
(40.68208329300006, -111.97921019799998)"
"Physicians Accountable Care Organization, LLC","7601 Jefferson NE, Suite 340, Albuquerque, New Mexico 87109",NM,http://www.pacosw.com,Drew Markell,dmarkell@pacosw.com,(505) 338-3851,Lou Bruno,lbruno@pacosw.com,(505) 338-3851,"7601 Jefferson NE
Albuquerque, New Mexico 87109
(35.166215102000024, -106.59168661299998)"
"Physicians Accountable Care Solutions, LLC","One Monarch Place, 7th Floor, Springfield, Massachusetts 01144","CA, MA, PA, TX, UT, WV, CT, IA",http://PACSfirst.com,Jean Brodowski,jbrodowski@hie.net,(413) 439-2512,Amelia Santos-Dias,adias@hie.net,(413) 439-2580,"One Monarch Place
Springfield, Massachusetts 01144
(42.10150383600006, -72.59184032799999)"
Physicians ACO,"1900 North Loop West, 4th Floor, Houston, Texas 77018",TX,http://physiciansaco.net/,Kenneth Gilliam,mgillliam@integranethealth.com,(832) 456-2624,Priscilla Goode,pgoode@integranethealth.com,(281) 591-5271,"1900 North Loop West
Houston, Texas 77018
(29.811745873000064, -95.43546231299996)"
"Physicians ACO, LLC","10238 W 86th Circle, Suite 200, Ocala, Florida 34481",FL,,Louis Morgenier,Lmorgenier@healthcaredevelopment.com,(561) 346-7796,Louis Morgenier,Lmorgenier@healthcaredevelopment.com,(561) 346-7796,"10238 W 86th Circle
Ocala, Florida 34481
(29.07439901500004, -82.26381573899994)"
Physicians Collaborative Trust ACO LLC,"1101 N Lake Destiny Drive, Suite 300, Maitland, Florida 32751",FL,http://www.pct-aco.com,Larry Jones,ljones@hpofflorida.com,(407) 475-9213 ext.204,Larry Jones,ljones@hpofflorida.com,(407) 475-9213 ext. 204,"1101 N Lake Destiny Drive
Maitland, Florida 32751
(28.639618308000024, -81.38838187299996)"
"Physicians Collaborative Trust of the Mississippi Gulf Coast, LLC","3213 Masters Drive, Clearwater, Florida 33761",MS,http://www.accmgc.com,Wayne Williams,wwilliams@hpofflorida.com,(727) 271-8995,Wayne Williams,wwilliams@hpofflorida.com,(727) 271-8995,"3213 Masters Drive
Clearwater, Florida 33761
(28.03841988000005, -82.71948975999999)"
"Physicians Healthcare Collaborative, LLC","1202 Medical Center Drive, Wilmington, North Carolina 28401",NC,http://www.physicianshealthcarecollaborative.com,Jeffry James,jjames@wilmingtonhealth.com,(901) 341-3303,Kelly Schaudt,kschaudt@wilmingtonhealth.com,(910) 815-3669,"1202 Medical Center Drive
Wilmington, SOUTH CAROLINA 28401
(34.20243622100003, -77.92953606699996)"
Pioneer Health Alliance,"110 Pioneer Way, Magee, Mississippi 39111","GA, KY, MS, NC, TN, VA",,Morgan Dunn,mdunn@phscorporate.com,(601) 849-6440 ext.323,Curt Scoville,curtscoville@phscorporate.com,(601) 946-1181,"110 Pioneer Way
Magee, Mississippi 39111
(31.86834047700006, -89.73300699799995)"
"Pioneer Valley Accountable Care, LLC","c/o Baycare Health Partners, 101 Wason Avenue, Suite 200, Springfield, Massachusetts 01107","CT, MA",http://www.pioneervalleyaco.org,Dr. Stephen Sweet,ssweet@baycarehealth.org,(413) 794-9090,Debra Cremonti,dcremonti@baycarehealth.org,(413) 794-9345,"101 Wason Avenue
Springfield, Massachusetts 01107
(42.124546244000044, -72.61400796899994)"
PMC ACO,"1305 Abbot Road, East Lansing, Michigan 48823",MI,http://www.pmcaco.com,Dr. Asif Ishaque,asif_ishaque@hotmail.com,(517) 336-1400,Nicole Garcia,ngarcia@medadvgrp.com,(517) 999-8011,"1305 Abbot Road
East Lansing, Michigan 48823
(42.748309472000074, -84.48379384199995)"
POM ACO,"400 North Ingalls, Room G148, Ann Arbor, Michigan 48109-5481",MI,,Dr. David Spahlinger,dspahlin@med.umich.edu,(734) 936-3568,Kara Gavin,kegavin@umich.edu,(734) 764-2220,"400 North Ingalls
Ann Arbor, Michigan 48109-5481
(42.28406677900006, -83.73851054999994)"
"PQN - Central Texas, LLC","950 N Glebe Rd, Suite 4000, Arlington, Virginia 22203",TX,http://www.priviahealth.com,Jeff Butler,jbutler@priviahealth.com,(571) 366-8850,Michael Richmond,mrichmond@brightonhealth.com,(203) 994-0559,"950 N Glebe Rd
Arlington, Virginia 22203
(38.88158995200007, -77.11582230399995)"
"Premier ACO Physician Network, LLC","4909 Lakewood Blvd., Suite 200, Lakewood, California 90712",CA,http://www.premieraco.com,Vivien Tran,vivien.tran@coasthealthcare.net,(562) 602-1563 ext. 281,Vivien Tran,vivien.tran@coasthealthcare.net,(562) 602-1563 ext. 281,"4909 Lakewood Blvd
Lakewood, California 90712
(33.84788832500004, -118.142622744)"
Premier Care Network LLC,"2440 Ping Drive, Henderson, Nevada 89074","AZ, CA, NV, MO",,Dr. Zaffar Iqbal,ziqbal71@gmail.com,(928) 550-0062,David Kahananui,davek.pcnaco@yahoo.com,(801) 471-5536,"2440 Ping Drive
Henderson, Nevada 89074
(36.03750838700006, -115.09019710399997)"
"Premier Choice ACO, Inc.","3990 Concours, Ste. 500, Ontario, California 91764",CA,http://www.premierchoiceaco.com/,Karen Gee,kgee@nammcal.com,(909) 605-8013,Brad Lotterman,brad.lotterman@optum.com,(714) 445-0453,"3990 Concours
Ontario, California 91764
(34.07111269500007, -117.56610757099997)"
"PremierMD ACO, LLC","3465 Galt Ocean Drive, Suite 101, Ft. Lauderdale, Florida 33308",FL,http://www.premiermd.net,David Fater,dfater@premiermd.net,(561) 866-9234,David Fater,dfater@premiermd.net,(561) 866-9234,"3465 Galt Ocean Drive
Ft Lauderdale, Florida 33308
(26.17100431600005, -80.09906148599998)"
"Premier Patient Healthcare, LLC ","2340 East Trinity Mills Road, Suite 250, Carrollton, Texas 75006","OK, TX",http://www.premierphc.com,Anwar Kazi,anwar.kazi@premierphc.com,(972) 417-8937,Anwar Kazi,anwar.kazi@premierphc.com,(972) 417-8937,"2340 East Trinity Mills Road
Carrollton, Texas 75006
(32.98507352900003, -96.87593096199998)"
"Pricare ACO, LLC","1775 Alysheba Way, Ste 201, Lexington, Kentucky 40509",KY,,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,"1775 Alysheba Way
Lexington, Kentucky 40509
(38.01504752400007, -84.42332048399999)"
